;Overall score ;Rank;Electoral process ;Functioning of government ;Political participation ;Political culture ;Civil liberties 
Full democracies ;;;;;;;
Norway ;9.93;1.00;10.00;9.64;10.00;10.00;10.00
Sweden ;9.73;2.00;9.58;9.64;9.44;10.00;10.00
Iceland ;9.65;3.00;10.00;9.64;8.89;10.00;9.71
Denmark ;9.38;4.00;9.58;9.64;8.89;9.38;9.41
New Zealand ;9.26;5.00;10.00;9.29;8.89;8.13;10.00
Australia ;9.13;6.00;9.58;8.93;7.78;9.38;10.00
Switzerland ;9.09;7.00;9.58;9.29;7.78;9.38;9.41
Canada ;9.08;8.00;9.58;9.29;7.78;8.75;10.00
Finland ;9.03;9.00;10.00;8.93;7.78;8.75;9.71
Luxembourg ;8.88;10.00;10.00;9.29;6.67;8.75;9.71
Netherlands ;8.84;11.00;9.58;8.21;8.89;8.13;9.41
Ireland ;8.68;12.00;9.58;7.86;7.22;8.75;10.00
Austria ;8.48;13.00;9.58;7.50;7.78;8.13;9.41
United Kingdom ;8.31;14.00;9.58;7.14;6.67;8.75;9.41
Germany ;8.31;15.00;9.58;7.50;7.22;8.13;9.12
Malta ;8.28;16.00;9.17;8.21;5.56;8.75;9.71
Uruguay ;8.17;17.00;10.00;8.93;4.44;7.50;10.00
Mauritius ;8.17;17.00;9.17;8.21;5.00;8.75;9.71
USA ;8.11;19.00;9.17;7.50;7.22;8.13;8.53
Japan ;8.08;20.00;9.17;8.21;6.11;7.50;9.41
Czech Republic ;8.06;21.00;9.58;7.14;6.67;7.50;9.41
South Korea ;8.06;21.00;9.17;7.86;7.22;7.50;8.53
Belgium ;8.05;23.00;9.58;8.21;5.56;7.50;9.41
Costa Rica ;8.03;24.00;9.58;7.86;6.11;6.88;9.71
Spain ;8.02;25.00;9.58;7.50;6.11;7.50;9.41
Flawed democracies ;;;;;;;
Botswana;7.98;26.00;9.17;7.14;6.67;7.50;9.41
France;7.92;27.00;9.58;6.79;7.22;7.50;8.53
Cape Verde;7.92;27.00;9.17;7.86;7.22;6.25;9.12
South Africa;7.90;29.00;8.75;8.21;7.78;6.25;8.53
Slovenia;7.88;30.00;9.58;7.50;7.22;6.25;8.82
Italy;7.85;31.00;9.58;6.43;7.22;7.50;8.53
Chile;7.80;32.00;9.58;8.93;3.89;6.88;9.71
India;7.69;33.00;9.58;7.14;6.67;5.63;9.41
Greece;7.65;34.00;9.58;5.71;6.67;6.88;9.41
Portugal;7.65;34.00;9.58;5.71;6.67;6.88;9.41
Estonia;7.61;36.00;9.58;7.14;5.00;7.50;8.82
Taiwan;7.57;37.00;9.58;7.14;6.11;5.63;9.41
Lithuania;7.54;38.00;9.58;6.07;6.11;6.25;9.71
Israel;7.53;39.00;8.75;7.50;8.33;7.50;5.59
Jamaica;7.39;40.00;9.17;6.79;5.00;6.88;9.12
Slovakia;7.35;41.00;9.58;7.50;5.56;5.00;9.12
Cyprus;7.29;42.00;9.17;6.43;6.11;5.63;9.12
Timor-Leste;7.24;43.00;8.67;7.14;5.56;6.88;7.94
Poland;7.12;44.00;9.58;6.43;6.11;4.38;9.12
Brazil;7.12;44.00;9.58;7.50;5.00;4.38;9.12
Panama;7.08;46.00;9.58;6.43;5.56;5.00;8.82
Latvia;7.05;47.00;9.58;5.36;5.56;5.63;9.12
Trinidad and Tobago;6.99;48.00;9.58;7.14;5.00;5.00;8.24
Hungary;6.96;49.00;9.17;6.07;4.44;6.88;8.24
Croatia;6.93;50.00;9.17;6.07;5.56;5.63;8.24
Mexico;6.91;51.00;8.75;6.79;6.67;5.00;7.35
Argentina;6.84;52.00;8.75;5.71;5.56;6.25;7.94
Bulgaria;6.83;53.00;9.17;5.71;6.67;4.38;8.24
Indonesia;6.82;54.00;6.92;7.50;6.67;6.25;6.76
Suriname;6.77;55.00;9.17;6.43;5.00;5.00;8.24
Dominican Republic;6.74;56.00;8.75;6.07;5.00;6.25;7.65
Serbia;6.67;57.00;9.17;5.71;6.11;5.00;7.35
Lesotho ;6.66;58.00;8.25;5.71;6.67;5.63;7.06
Colombia ;6.55;59.00;9.17;7.14;3.89;3.75;8.82
Romania ;6.54;60.00;9.58;6.07;4.44;4.38;8.24
Peru ;6.54;60.00;9.17;5.00;5.00;5.00;8.53
El Salvador ;6.53;62.00;9.17;6.07;3.89;5.00;8.53
Mongolia ;6.51;63.00;9.17;5.71;4.44;5.00;8.24
Malaysia ;6.49;64.00;6.92;7.86;5.56;6.25;5.88
Hong Kong ;6.42;65.00;4.75;6.07;5.00;6.88;9.41
Philippines ;6.41;66.00;8.33;5.36;6.11;3.13;9.12
Papua New Guinea ;6.36;67.00;7.33;6.07;3.89;6.25;8.24
Ghana ;6.33;68.00;8.33;5.36;5.56;5.63;6.76
Moldova ;6.32;69.00;8.75;5.00;5.56;4.38;7.94
Zambia ;6.26;70.00;7.92;5.36;4.44;6.25;7.35
Paraguay ;6.26;70.00;8.33;5.36;5.00;4.38;8.24
Thailand ;6.25;72.00;7.83;6.07;5.56;5.00;6.76
Namibia ;6.24;73.00;5.67;5.00;6.67;5.63;8.24
Macedonia ;6.16;74.00;7.75;4.64;6.11;4.38;7.94
Senegal ;6.15;75.00;7.92;5.71;4.44;5.63;7.06
Guyana ;6.05;76.00;7.92;5.36;5.56;4.38;7.06
Malawi ;6.00;77.00;7.00;5.00;5.56;6.25;6.18
Hybrid regimes ;;;;;;;
Georgia ;5.95;78.00;8.67;4.64;5.56;5.00;5.88
Montenegro ;5.94;79.00;7.92;5.36;5.00;4.38;7.06
Singapore ;5.92;80.00;4.33;7.14;3.89;6.88;7.35
Mali ;5.90;81.00;7.83;3.93;5.00;6.25;6.47
Benin ;5.87;82.00;7.33;6.07;4.44;5.63;5.88
Ecuador ;5.87;82.00;8.25;4.64;5.00;4.38;7.06
Bangladesh ;5.86;84.00;7.42;5.43;5.00;4.38;7.06
Honduras ;5.84;85.00;8.75;5.71;3.89;4.38;6.47
Ukraine ;5.84;85.00;7.92;4.29;5.56;4.38;7.06
Guatemala ;5.81;87.00;7.92;6.07;3.33;4.38;7.35
Bolivia ;5.79;88.00;7.00;5.00;5.56;3.75;7.65
Tanzania ;5.77;89.00;7.42;4.64;5.56;5.63;5.59
Tunisia ;5.76;90.00;6.17;5.00;6.67;6.25;4.71
SriLanka;5.69;91.00;6.17;5.36;4.44;6.88;5.59
Albania;5.67;92.00;7.00;4.00;5.00;5.00;7.35
Turkey;5.63;93.00;7.92;6.43;5.00;5.00;3.82
Nicaragua;5.46;94.00;6.17;4.00;4.44;5.63;7.06
Uganda;5.22;95.00;5.67;3.57;4.44;6.25;6.18
Kenya;5.13;96.00;4.33;4.29;6.11;5.63;5.29
Venezuela;5.07;97.00;5.25;4.29;5.56;4.38;5.88
Lebanon;5.05;98.00;5.67;1.79;7.22;5.00;5.59
Bosnia and Hercegovina;5.02;99.00;6.50;2.93;3.33;5.00;7.35
Liberia;4.95;100.00;7.83;0.79;5.56;5.00;5.59
Bhutan;4.82;101.00;7.50;5.36;3.33;4.38;3.53
Libya;4.82;101.00;4.33;4.64;3.89;5.63;5.59
Palestine;4.80;103.00;5.17;2.86;7.78;4.38;3.82
Nepal;4.77;104.00;3.92;4.29;4.44;5.63;5.59
Mozambique;4.77;104.00;4.42;3.57;6.11;5.63;4.12
Kyrgyz Republic;4.69;106.00;6.58;2.21;5.00;4.38;5.29
Pakistan;4.64;107.00;6.00;5.36;2.78;3.75;5.29
SierraLeone;4.64;107.00;7.00;1.86;2.78;6.25;5.29
Cambodia;4.60;109.00;4.42;6.07;2.78;5.63;4.12
Madagascar;4.32;110.00;3.83;2.14;5.00;5.63;5.00
Mauritania;4.17;111.00;3.42;4.29;5.00;3.13;5.00
BurkinaFaso;4.15;112.00;4.42;3.57;3.33;5.00;4.41
Iraq;4.10;113.00;4.33;0.79;7.22;3.75;4.41
Niger;4.08;114.00;7.08;1.14;2.78;4.38;5.00
Morocco;4.07;115.00;3.50;4.64;2.78;5.00;4.41
Armenia;4.02;116.00;4.33;2.86;3.89;3.13;5.88
Authoritarian regimes ;;;;;;;
Haiti ;3.94;117.00;4.75;2.21;2.22;3.75;6.76
Ethiopia ;3.83;118.00;0.00;3.57;5.56;5.63;4.41
Algeria ;3.83;118.00;3.00;2.21;3.89;5.63;4.41
Kuwait ;3.78;120.00;3.17;3.93;3.89;4.38;3.53
Nigeria ;3.77;121.00;5.67;3.21;3.33;3.13;3.53
Jordan ;3.76;122.00;3.17;3.93;4.44;3.75;3.53
Gabon ;3.76;122.00;3.00;2.21;4.44;5.00;4.12
Fiji;3.61;124.00;0.42;2.86;3.89;5.00;5.88
Russia;3.59;125.00;3.50;2.86;5.00;2.50;4.12
Cuba;3.52;126.00;1.75;4.64;3.89;4.38;2.94
Comoros;3.52;126.00;3.92;2.21;3.89;3.75;3.82
Togo;3.45;128.00;4.00;0.79;3.33;5.00;4.12
Burundi;3.41;129.00;3.00;2.21;3.89;5.00;2.94
Cameroon;3.41;129.00;0.75;3.57;3.89;5.00;3.82
Rwanda;3.38;131.00;0.83;5.00;2.22;5.00;3.82
Angola;3.35;132.00;0.92;3.21;5.00;4.38;3.24
Gambia;3.31;133.00;2.17;3.93;2.22;5.00;3.24
Vietnam;3.29;134.00;0.00;3.93;3.89;6.88;1.76
Egypt;3.27;135.00;2.17;2.50;5.00;3.75;2.94
Oman;3.26;136.00;0.00;3.93;3.89;4.38;4.12
Co_ted’Ivoire;3.25;137.00;0.00;1.79;5.00;5.63;3.82
Swaziland;3.20;138.00;0.92;2.86;2.78;5.63;3.82
Qatar;3.18;139.00;0.00;3.93;2.22;5.63;4.12
Azerbaijan;3.06;140.00;1.75;1.79;3.33;3.75;4.71
Kazakhstan;3.06;140.00;0.50;2.14;3.89;4.38;4.41
Belarus;3.04;142.00;1.75;2.86;3.89;4.38;2.35
China;3.00;143.00;0.00;4.64;3.89;5.00;1.47
Djibouti;2.96;144.00;0.83;1.79;3.33;5.63;3.24
Congo(Brazzaville);2.89;145.00;1.25;2.86;3.33;3.75;3.24
Bahrain;2.87;146.00;1.25;3.57;2.78;4.38;2.35
Guinea;2.84;147.00;3.50;0.43;3.89;3.75;2.65
Yemen;2.79;148.00;1.33;1.43;5.00;5.00;1.18
Myanmar;2.76;149.00;1.50;2.14;2.78;5.63;1.76
Zimbabwe;2.67;150.00;0.50;1.29;3.33;5.00;3.24
Sudan;2.54;151.00;0.00;1.79;4.44;5.00;1.47
United Arab Emirates;2.52;152.00;0.00;3.57;1.11;5.00;2.94
Tajikistan;2.51;153.00;1.83;0.79;2.22;6.25;1.47
Afghanistan;2.48;154.00;2.50;0.79;2.78;2.50;3.82
Eritrea;2.40;155.00;0.00;2.86;1.11;6.88;1.18
Laos;2.21;156.00;0.00;3.21;1.67;5.00;1.18
Iran ;1.98;157.00;0.00;2.86;2.78;2.50;1.76
Syria ;1.86;158.00;0.00;0.36;3.33;5.63;0.00
Democratic Republic of Congo ;1.83;159.00;1.33;0.71;2.22;3.13;1.76
Saudi Arabia ;1.82;160.00;0.00;2.86;1.67;3.13;1.47
Equatorial Guinea ;1.77;161.00;0.00;0.79;2.22;4.38;1.47
Uzbekistan ;1.72;162.00;0.08;0.79;2.78;4.38;0.59
Turkmenistan ;1.72;162.00;0.00;0.79;2.22;5.00;0.59
Chad ;1.50;164.00;0.00;0.00;1.11;3.75;2.65
Central African Republic ;1.49;165.00;0.92;0.00;1.67;2.50;2.35
Guinea-Bissau ;1.26;166.00;0.42;0.00;1.67;1.88;2.35
North Korea ;1.08;167.00;0.00;2.50;1.67;1.25;0.00